trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
200,False,"{'a': 0.01, 'e': 0.1353352832366127}",25,16,16.439561117134442,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.01, 'e': 0.13398867466880493}",20,6,22.641617579085903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.01, 'e': 0.13265546508012172}",25,8,27.10287624705907,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.01, 'e': 0.13133552114849303}",20,8,-1.7217080115204977,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
204,False,"{'a': 0.01, 'e': 0.1300287108784259}",25,0,13.973205044910545,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
205,False,"{'a': 0.01, 'e': 0.12873490358780423}",20,16,6.70991013640262,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.01, 'e': 0.12745396989482075}",25,11,23.086937366137025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.01, 'e': 0.12618578170503877}",25,8,27.856879784236213,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.01, 'e': 0.12493021219858241}",25,3,22.749384919234792,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.01, 'e': 0.12368713581745483}",25,12,24.164846780120335,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.01, 'e': 0.1224564282529819}",25,15,8.904195011872233,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.01, 'e': 0.12123796643338168}",20,7,21.32223668016606,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.01, 'e': 0.12003162851145673}",20,2,21.929428215896262,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.01, 'e': 0.11883729385240965}",20,0,-36.53814664514622,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
